City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
41,Rio Branco Do Sul,-25.19,-49.31,66.99,100,75,4.7,BR,2020-01-06 01:27:14
42,Avera,33.19,-82.53,50.0,62,1,3.36,US,2020-01-06 01:29:13
43,Richards Bay,-28.77,32.06,79.34,88,18,14.18,ZA,2020-01-06 01:28:26
44,Naze,5.43,7.07,74.73,57,83,1.97,NG,2020-01-06 01:27:34
45,Yarada,17.65,83.27,73.4,78,75,6.93,IN,2020-01-06 01:28:44
46,Broken Hill,-31.97,141.45,60.8,77,100,21.92,AU,2020-01-06 01:28:45
47,Codrington,-28.95,153.24,86.0,51,75,8.05,AU,2020-01-06 01:28:09
48,Kenai,60.55,-151.26,0.0,83,20,8.05,US,2020-01-06 01:29:24
49,Pacific Grove,36.62,-121.92,59.0,67,1,4.7,US,2020-01-06 01:29:26
50,Perth,-31.95,115.86,84.2,28,0,3.36,AU,2020-01-06 01:29:53
51,Fortuna,40.6,-124.16,51.01,76,1,4.7,US,2020-01-06 01:23:11
52,Talnakh,69.49,88.39,21.2,85,75,26.84,RU,2020-01-06 01:27:18
53,Champerico,16.38,-93.6,68.0,68,75,19.46,MX,2020-01-06 01:29:53
54,Nikolskoye,59.7,30.79,25.0,85,93,2.24,RU,2020-01-06 01:22:37
55,Butaritari,3.07,172.79,85.35,76,93,16.69,KI,2020-01-06 01:26:59
56,Tuatapere,-46.13,167.69,50.0,79,100,23.0,NZ,2020-01-06 01:26:39
57,Dullewala,31.84,71.44,48.72,86,100,8.28,PK,2020-01-06 01:29:54
58,Caravelas,-17.73,-39.27,72.5,93,100,11.03,BR,2020-01-06 01:27:32
59,Qaanaaq,77.48,-69.36,-25.4,49,18,2.93,GL,2020-01-06 01:27:09
60,Atar,20.52,-13.05,54.66,24,0,8.5,MR,2020-01-06 01:24:20
61,Ponta Do Sol,-20.63,-46.0,67.86,95,4,4.09,BR,2020-01-06 01:22:59
62,Bluff,-23.58,149.07,85.77,45,1,13.42,AU,2020-01-06 01:26:55
63,Sibut,5.73,19.09,69.49,35,3,3.62,CF,2020-01-06 01:29:55
64,Cape Town,-33.93,18.42,64.4,72,40,8.05,ZA,2020-01-06 01:23:58
65,Pathein,16.78,94.73,74.93,86,58,7.29,MM,2020-01-06 01:27:53
